date,time,operator,edition,list,event,playlist_time,ID,playlist_on
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:53:00:11,2506735,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:53:05:15,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:53:15:11,GRF_2022_ENF,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:52:45:11,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:53:25:11,AN042473,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:53:15:16,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:53:45:14,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:53:55:11,2522950,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:53:45:15,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:54:00:15,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,04:54:10:11,MHDPR_000011474,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:54:10:11,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:54:10:11,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:54:10:11,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,04:59:07:24,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:07:45:03,2525895,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:07:35:07,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:07:45:03,ICONX,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:07:45:07,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:07:55:03,AN042301,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:07:45:08,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutSecondary,05:08:15:06,SCTE104,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:08:25:03,GRF_2234_STF,WP09
2024-05-19,01:07:13,Operator,Edition,V13-2M-TTE+7,Del/CutPrimary,05:08:30:03,2518397,WP09
